id,date,season,gender,event_name,match_type,match_type_number,match_number,city,venue,team1,team2,referee,reserve_umpire,tv_umpire,umpire1,umpire2,team1players,team2players,toss_winner,toss_decision,winner,result,eliminator,wonBy,margin,method,player_of_match
566946,19-06-2013,2013,male,ICC Champions Trophy,ODI,3375,Semi Final,London,Kennington Oval,England,South Africa,['J Srinath'],['SJ Davis'],['BNJ Oxenford'],HDPK Dharmasena,RJ Tucker,"['AN Cook', 'IR Bell', 'IJL Trott', 'JE Root', 'EJG Morgan', 'RS Bopara', 'JC Buttler', 'SCJ Broad', 'JM Anderson', 'JC Tredwell', 'ST Finn']","['CA Ingram', 'HM Amla', 'RJ Peterson', 'F du Plessis', 'AB de Villiers', 'JP Duminy', 'DA Miller', 'R McLaren', 'CH Morris', 'RK Kleinveldt', 'LL Tsotsobe']",England,field,England,,,wickets,7,,['JC Tredwell']
566947,20-06-2013,2013,male,ICC Champions Trophy,ODI,3376,Semi Final,Cardiff,Sophia Gardens,India,Sri Lanka,['BC Broad'],['IJ Gould'],['NJ Llong'],Aleem Dar,RA Kettleborough,"['RG Sharma', 'S Dhawan', 'V Kohli', 'SK Raina', 'KD Karthik', 'MS Dhoni', 'RA Jadeja', 'R Ashwin', 'I Sharma', 'B Kumar', 'UT Yadav']","['MDKJ Perera', 'TM Dilshan', 'KC Sangakkara', 'HDRL Thirimanne', 'DPMD Jayawardene', 'AD Mathews', 'BMAJ Mendis', 'NLTC Perera', 'KMDN Kulasekara', 'SL Malinga', 'HMRKB Herath']",India,field,India,,,wickets,8,,['I Sharma']
566948,23-06-2013,2013,male,ICC Champions Trophy,ODI,3377,Final,Birmingham,Edgbaston,England,India,['RS Madugalle'],['Aleem Dar'],['BNJ Oxenford'],HDPK Dharmasena,RJ Tucker,"['AN Cook', 'IR Bell', 'IJL Trott', 'JE Root', 'EJG Morgan', 'RS Bopara', 'JC Buttler', 'TT Bresnan', 'SCJ Broad', 'JC Tredwell', 'JM Anderson']","['RG Sharma', 'S Dhawan', 'V Kohli', 'KD Karthik', 'SK Raina', 'MS Dhoni', 'RA Jadeja', 'R Ashwin', 'B Kumar', 'I Sharma', 'UT Yadav']",England,field,India,,,runs,5,,['RA Jadeja']
597923,28-06-2013,2013,male,West Indies Tri-Nation Series,ODI,3378,1,Jamaica,"Sabina Park, Kingston",West Indies,Sri Lanka,['JJ Crowe'],['PJ Nero'],['N Duguid'],IJ Gould,JS Wilson,"['CH Gayle', 'J Charles', 'DM Bravo', 'MN Samuels', 'KA Pollard', 'DJ Bravo', 'D Ramdin', 'DJG Sammy', 'SP Narine', 'R Rampaul', 'KAJ Roach']","['WU Tharanga', 'DPMD Jayawardene', 'KC Sangakkara', 'LD Chandimal', 'AD Mathews', 'HDRL Thirimanne', 'KMDN Kulasekara', 'BMAJ Mendis', 'HMRKB Herath', 'SL Malinga', 'BAW Mendis']",West Indies,field,West Indies,,,wickets,6,,['CH Gayle']
597924,30-06-2013,2013,male,West Indies Tri-Nation Series,ODI,3380,2,Jamaica,"Sabina Park, Kingston",West Indies,India,['JJ Crowe'],['N Duguid'],['JS Wilson'],IJ Gould,PJ Nero,"['CH Gayle', 'J Charles', 'DS Smith', 'MN Samuels', 'DM Bravo', 'KA Pollard', 'D Ramdin', 'DJG Sammy', 'KAJ Roach', 'SP Narine', 'TL Best']","['RG Sharma', 'S Dhawan', 'V Kohli', 'KD Karthik', 'SK Raina', 'MS Dhoni', 'RA Jadeja', 'R Ashwin', 'B Kumar', 'I Sharma', 'UT Yadav']",West Indies,field,West Indies,,,wickets,1,,['J Charles']
627006,01-07-2013,2013,female,Pakistan Women in England ODI Series,ODI,876,1,,Louth Cricket Club,England,Pakistan,['DT Jukes'],,,MJD Bodenham,SA Garratt,"['CM Edwards', 'A Brindle', 'SJ Taylor', 'DN Wyatt', 'LS Greenway', 'HC Knight', 'L Winfield', 'NR Sciver', 'JL Gunn', 'D Hazell', 'A Shrubsole']","['Nahida Khan', 'Javeria Khan', 'Nain Abidi', 'Bismah Maroof', 'Nida Dar', 'Sana Mir', 'Asmavia Iqbal', 'Batool Fatima', 'Qanita Jalil', 'Sumaiya Siddiqi', 'Sadia Yousuf']",England,bat,England,,,runs,111,,['JL Gunn']
597925,02-07-2013,2013,male,West Indies Tri-Nation Series,ODI,3382,3,Jamaica,"Sabina Park, Kingston",India,Sri Lanka,['JJ Crowe'],['N Duguid'],['PJ Nero'],IJ Gould,JS Wilson,"['RG Sharma', 'S Dhawan', 'M Vijay', 'V Kohli', 'KD Karthik', 'SK Raina', 'RA Jadeja', 'R Ashwin', 'Mohammed Shami', 'I Sharma', 'UT Yadav']","['WU Tharanga', 'DPMD Jayawardene', 'AD Mathews', 'MDKJ Perera', 'KC Sangakkara', 'LD Chandimal', 'HDRL Thirimanne', 'KMDN Kulasekara', 'SMSM Senanayake', 'HMRKB Herath', 'SL Malinga']",India,field,Sri Lanka,,,runs,161,,['WU Tharanga']
627007,03-07-2013,2013,female,Pakistan Women in England ODI Series,ODI,877,2,Loughborough,Haslegrave Ground,England,Pakistan,['DT Jukes'],,,RJ Bailey,SJ O'Shaughnessy,"['CM Edwards', 'A Brindle', 'SJ Taylor', 'LS Greenway', 'HC Knight', 'L Winfield', 'NR Sciver', 'DN Wyatt', 'JL Gunn', 'D Hazell', 'A Shrubsole']","['Nahida Khan', 'Javeria Khan', 'Nain Abidi', 'Bismah Maroof', 'Asmavia Iqbal', 'Sana Mir', 'Nida Dar', 'Batool Fatima', 'Qanita Jalil', 'Sumaiya Siddiqi', 'Sadia Yousuf']",Pakistan,bat,England,,,wickets,6,,['NR Sciver']
597926,05-07-2013,2013,male,West Indies Tri-Nation Series,ODI,3383,4,Trinidad,"Queen's Park Oval, Port of Spain",West Indies,India,['JJ Crowe'],['JS Wilson'],['N Duguid'],NJ Llong,PJ Nero,"['CH Gayle', 'J Charles', 'DM Bravo', 'MN Samuels', 'KA Pollard', 'DJ Bravo', 'D Ramdin', 'DJG Sammy', 'KAJ Roach', 'SP Narine', 'TL Best']","['RG Sharma', 'S Dhawan', 'V Kohli', 'SK Raina', 'KD Karthik', 'M Vijay', 'RA Jadeja', 'R Ashwin', 'B Kumar', 'I Sharma', 'UT Yadav']",West Indies,field,India,,,runs,102,D/L,['V Kohli']
597927,07-07-2013,2013,male,West Indies Tri-Nation Series,ODI,3385,5,Trinidad,"Queen's Park Oval, Port of Spain",West Indies,Sri Lanka,['JJ Crowe'],['N Duguid'],['PJ Nero'],NJ Llong,JS Wilson,"['CH Gayle', 'J Charles', 'DS Smith', 'MN Samuels', 'DM Bravo', 'LMP Simmons', 'KA Pollard', 'DJG Sammy', 'KAJ Roach', 'JO Holder', 'TL Best']","['WU Tharanga', 'DPMD Jayawardene', 'KC Sangakkara', 'LD Chandimal', 'HDRL Thirimanne', 'AD Mathews', 'BMAJ Mendis', 'KMDN Kulasekara', 'SMSM Senanayake', 'SL Malinga', 'RMS Eranga']",West Indies,field,Sri Lanka,,,runs,39,D/L,['KC Sangakkara']
